0000000457,scans,0000000118,DataLength
"header",0000000026,"lines"
"Date",4/24/2016,"Time",6:01:48 PM
"ID","HAL RC RGA 301 #14852","Version",3
"Scans",7
"Scan ID","Mode","Input","Scanned","Start","Stop","Increment","Dwell","Settle","RS","RelSEM"
"Scan 1","RGA","Temperature","none",0.40,0.40,0.01,10.000,8.000,1.000000,1.000000,
"Scan 2","RGA","SEM","mass",2.00,2.00,0.01,10.000,8.000,0.440000,1.000000,
"Scan 3","RGA","SEM","mass",16.00,16.00,0.01,10.000,8.000,0.098000,1.000000,
"Scan 4","RGA","SEM","mass",18.00,18.00,0.01,10.000,8.000,0.900000,1.000000,
"Scan 5","RGA","SEM","mass",28.00,28.00,0.01,10.000,8.000,1.050000,1.000000,
"Scan 6","RGA","SEM","mass",32.00,32.00,0.01,10.000,8.000,0.860000,1.000000,
"Scan 7","RGA","SEM","mass",44.00,44.00,0.01,10.000,8.000,1.400000,1.000000,
"Environment",
"Global","RGA"
"F1",1,"( 1 = on, 0 = off )"
"F2",0,"( 1 = on, 0 = off )"
"cage",3.3,"V"
"delta-m",0,"%"
"electron-energy",70.0,"V"
"emission",1000.000,"uA"
"focus",-90,"V"
"mass",5.50,"amu"
"mode-change-delay",1000,"ms"
"multiplier",1000,"V"
"resolution",0,"%"
"Data",7
"Time","ms","Scan 1 : none 0.40","Hydrogen","Oxygen-16","Water","Carbon monoxide","Oxygen","Carbon dioxide",
00:00:47,     47912,   273.8927,  2.65818e-09,  2.76429e-09,  7.79972e-10,  1.68314e-09,  1.71250e-10,  4.97571e-10,
00:00:48,     48416,   276.0083,  2.84630e-09,  2.61071e-09,  7.81167e-10,  1.57257e-09,  2.38750e-10,  4.59946e-10,
00:00:48,     48920,   277.7273,  2.87807e-09,  2.83010e-09,  7.50111e-10,  1.64526e-09,  1.56250e-10,  5.03714e-10,
00:00:49,     49424,   279.8429,  3.11750e-09,  2.49005e-09,  8.08639e-10,  1.62171e-09,  2.00000e-10,  4.27696e-10,
00:00:49,     49928,   281.6940,  2.88295e-09,  2.31454e-09,  7.33389e-10,  1.73843e-09,  2.12500e-10,  5.42107e-10,
00:00:50,     50432,   283.5452,  2.65573e-09,  3.21403e-09,  7.42944e-10,  1.65038e-09,  1.72500e-10,  4.89125e-10,
00:00:50,     50936,   285.5286,  2.72414e-09,  2.38036e-09,  7.60861e-10,  1.61250e-09,  1.98750e-10,  5.04482e-10,
00:00:51,     51440,   287.1153,  3.05641e-09,  2.36939e-09,  8.20583e-10,  1.73535e-09,  2.22500e-10,  4.87589e-10,
00:00:51,     51944,   289.6276,  3.31295e-09,  2.77526e-09,  7.07111e-10,  1.62376e-09,  2.18750e-10,  5.95089e-10,
00:00:52,     52448,   292.2721,  3.12727e-09,  3.15918e-09,  7.21444e-10,  1.75583e-09,  2.57500e-10,  5.47482e-10,
00:00:52,     52952,   293.9911,  3.30318e-09,  3.17015e-09,  6.70083e-10,  1.70567e-09,  1.95000e-10,  4.74536e-10,
00:00:53,     53456,   295.9745,  3.13216e-09,  2.93980e-09,  6.90389e-10,  1.77630e-09,  1.91250e-10,  5.42875e-10,
00:00:53,     53960,   297.8256,  3.26652e-09,  2.62168e-09,  7.71611e-10,  1.72511e-09,  1.96250e-10,  4.86054e-10,
00:00:54,     54464,   299.9412,  3.43266e-09,  2.79719e-09,  7.45333e-10,  1.67802e-09,  2.42500e-10,  5.09857e-10,
00:00:54,     54968,   302.1891,  3.28364e-09,  2.73138e-09,  7.27417e-10,  1.66267e-09,  2.41250e-10,  5.59768e-10,
00:00:55,     55472,   304.3047,  3.63789e-09,  2.86301e-09,  6.85611e-10,  1.58486e-09,  2.13750e-10,  5.32893e-10,
00:00:55,     55976,   306.1559,  3.52550e-09,  3.24694e-09,  7.03528e-10,  1.72716e-09,  2.22500e-10,  4.93732e-10,
00:00:56,     56480,   308.1393,  3.54261e-09,  2.61071e-09,  6.52167e-10,  1.65140e-09,  2.02500e-10,  5.28286e-10,
00:00:56,     56984,   310.2549,  3.08573e-09,  2.47908e-09,  7.25028e-10,  1.61659e-09,  1.98750e-10,  4.99107e-10,
00:00:57,     57488,   312.2383,  3.61102e-09,  2.65459e-09,  6.79639e-10,  1.70976e-09,  2.46250e-10,  5.02179e-10,
00:00:57,     57992,   314.2217,  3.38380e-09,  3.46633e-09,  5.56611e-10,  1.67086e-09,  2.01250e-10,  5.49786e-10,
00:00:58,     58496,   316.4695,  3.54750e-09,  3.22500e-09,  5.90056e-10,  1.64730e-09,  2.01250e-10,  4.81446e-10,
00:00:59,     59000,   318.4529,  3.47420e-09,  3.07143e-09,  5.92444e-10,  1.48964e-09,  1.63750e-10,  5.02946e-10,
00:00:59,     59504,   320.4363,  3.85045e-09,  2.67653e-09,  6.53361e-10,  1.54288e-09,  2.11250e-10,  5.62071e-10,
00:00:59,     59990,   322.4197,  3.59636e-09,  3.20306e-09,  5.87667e-10,  1.69543e-09,  2.50000e-10,  5.12161e-10,
00:01:00,     60494,   324.1386,  3.47664e-09,  2.52296e-09,  6.23500e-10,  1.62581e-09,  1.75000e-10,  4.67625e-10,
00:01:00,     60998,   326.1220,  3.83580e-09,  3.23597e-09,  6.74861e-10,  1.66778e-09,  2.05000e-10,  4.98339e-10,
00:01:01,     61502,   328.2377,  3.51084e-09,  2.44617e-09,  5.85278e-10,  1.62786e-09,  1.86250e-10,  4.55339e-10,
