Tue, Oct 10, 2017	2:59 PM
 x = amu	 y = amps

34.260	106.360
34.320	105.953
34.380	105.660
34.440	105.558
34.500	104.590
34.560	104.819
34.620	105.889
34.680	106.042
34.740	106.870
34.800	107.150
34.860	106.526
34.920	106.819
34.980	106.500
35.040	106.462
35.100	107.150
35.160	107.328
35.220	106.844
35.280	106.539
35.340	106.449
35.400	105.800
35.460	104.819
35.520	106.144
35.580	108.220
35.640	111.595
35.700	114.193
35.760	117.568
35.820	118.116
35.880	120.039
35.940	120.154
36.000	119.797
36.060	120.358
36.120	118.931
36.180	117.887
36.240	117.772
36.300	116.014
36.360	114.868
36.420	111.429
36.480	108.602
36.540	109.417
36.600	110.945
36.660	116.104
36.720	122.434
36.780	126.051
36.840	127.796
36.900	130.929
36.960	130.967
37.020	130.101
37.080	130.114
37.140	129.502
37.200	127.172
37.260	126.165
37.320	124.688
37.380	122.115
37.440	117.836
37.500	113.123
37.560	111.085
37.620	115.989
37.680	124.510
37.740	133.043
37.800	138.163
37.860	141.602
37.920	142.736
37.980	142.697
38.040	142.226
38.100	142.162
38.160	142.099
38.220	140.430
38.280	138.061
38.340	132.852
38.400	125.312
38.460	119.211
38.520	113.212
38.580	116.511
38.640	130.738
38.700	144.557
38.760	156.313
38.820	165.063
38.880	172.335
38.940	175.787
39.000	175.901
39.060	176.614
39.120	174.704
39.180	173.303
39.240	170.335
39.300	167.317
39.360	162.018
39.420	150.008
39.480	138.201
39.540	151.091
39.600	200.546
39.660	251.619
39.720	293.446
39.780	325.975
39.840	351.333
39.900	365.840
39.960	371.495
40.020	367.712
40.080	359.816
40.140	356.160
40.200	346.353
40.260	326.319
40.320	307.991
40.380	267.476
40.440	214.391
40.500	170.412
40.560	144.812
40.620	136.278
40.680	146.569
40.740	162.617
40.800	177.404
40.860	186.880
40.920	195.197
40.980	199.234
41.040	198.126
41.100	197.833
41.160	195.095
41.220	193.745
41.280	190.739
41.340	186.855
41.400	171.380
41.460	152.823
41.520	135.132
41.580	124.497
41.640	131.706
41.700	151.587
41.760	169.036
41.820	182.792
41.880	194.853
41.940	202.813
42.000	203.425
42.060	203.068
42.120	202.126
42.180	199.782
42.240	201.501
42.300	197.923
42.360	184.791
42.420	167.928
42.480	147.002
42.540	128.840
42.600	123.898
42.660	133.170
42.720	147.652
42.780	162.082
42.840	172.997
42.900	183.225
42.960	188.829
43.020	193.809
43.080	192.586
43.140	192.242
43.200	188.689
43.260	187.300
43.320	185.976
43.380	181.161
43.440	169.902
43.500	162.464
43.560	172.501
43.620	335.527
43.680	595.376
43.740	914.692
43.800	1193.454
43.860	1382.234
43.920	1537.835
43.980	1609.873
44.040	1605.644
44.100	1614.330
44.160	1607.962
44.220	1607.338
44.280	1531.798
44.340	1462.041
44.400	1274.356
44.460	988.665
44.520	672.967
44.580	429.280
44.640	285.014
44.700	209.958
44.760	175.035
44.820	157.726
44.880	149.308
44.940	145.945
45.000	144.621
45.060	144.608
45.120	142.099
45.180	140.494
45.240	139.844
45.300	139.411
45.360	138.418
45.420	131.502
45.480	125.185
45.540	117.543
45.600	111.901
45.660	109.175
45.720	108.844
45.780	110.156
45.840	110.818
45.900	112.168
45.960	113.060
46.020	113.862
46.080	113.442
46.140	112.677
46.200	113.098
46.260	112.397
46.320	113.353
46.380	112.474
46.440	111.175
46.500	110.729
46.560	108.041
46.620	106.691
46.680	106.781
46.740	107.901
46.800	109.710
46.860	111.901
46.920	113.454
46.980	114.524
47.040	115.263
47.100	114.855
47.160	114.703
47.220	115.760
47.280	114.906
47.340	114.715
47.400	113.887
47.460	112.346
47.520	109.468
47.580	108.131
47.640	107.188
47.700	107.659
47.760	110.449
47.820	114.244
47.880	116.447
47.940	118.434
48.000	120.001
48.060	121.236
48.120	120.791
48.180	121.109
48.240	120.077
48.300	120.243
48.360	119.173
48.420	118.804
48.480	116.307
48.540	113.544
48.600	109.583
48.660	107.736
48.720	107.443
48.780	108.780
48.840	110.321
48.900	111.429
48.960	113.123
49.020	114.422
49.080	115.836
49.140	116.129
49.200	115.569
49.260	116.129
49.320	115.925
49.380	115.187
49.440	115.148
49.500	114.180
49.560	112.194
49.620	108.704
49.680	107.723
49.740	109.290
49.800	113.926
49.860	122.739
49.920	134.393
0.000	567.241
0.060	869.490
0.120	1112.247
0.180	1416.508
0.240	1606.561
0.300	1697.104
0.360	1727.608
0.420	1732.168
0.480	1733.187
0.540	1731.276
0.600	1724.475
0.660	1720.934
0.720	1731.824
0.780	1741.071
0.840	1752.725
0.900	1796.474
0.960	1826.863
1.020	1620.571
1.080	1610.700
1.140	1262.218
1.200	1048.692
1.260	824.085
1.320	569.266
1.380	377.392
1.440	264.305
1.500	203.272
1.560	175.799
1.620	169.902
1.680	198.649
1.740	625.027
1.800	1209.999
1.860	1604.039
1.920	1820.266
1.980	1924.030
2.040	2025.234
2.100	2100.837
