Wed, Oct 04, 2017	10:33 AM
 x = amu	 y = amps
84.240	101.036
84.300	100.489
84.360	99.419
84.420	99.674
84.480	101.189
84.540	100.209
84.600	101.992
84.660	101.801
84.720	101.457
84.780	101.877
84.840	102.539
84.900	101.953
84.960	102.068
85.020	102.310
85.080	102.527
85.140	101.559
85.200	100.998
85.260	100.145
85.320	99.890
85.380	100.234
85.440	100.068
85.500	100.361
85.560	100.845
85.620	101.100
85.680	101.635
85.740	101.902
85.800	102.399
85.860	103.011
85.920	102.412
85.980	103.125
86.040	103.100
86.100	102.667
86.160	101.826
86.220	101.126
86.280	101.113
86.340	100.998
86.400	100.158
86.460	99.928
86.520	100.017
86.580	100.387
86.640	100.285
86.700	100.310
86.760	100.170
86.820	100.183
86.880	101.049
86.940	100.489
87.000	101.151
87.060	100.591
87.120	99.928
87.180	100.629
87.240	100.934
87.300	99.826
87.360	100.603
87.420	100.259
87.480	100.030
87.540	99.877
87.600	99.368
87.660	99.393
87.720	100.336
87.780	99.737
87.840	100.489
87.900	100.017
87.960	99.610
88.020	100.552
88.080	100.578
88.140	98.922
88.200	99.381
88.260	99.788
88.320	99.928
88.380	99.215
88.440	99.954
88.500	99.151
88.560	99.686
88.620	100.043
88.680	99.890
88.740	99.775
88.800	100.565
88.860	99.419
88.920	100.361
88.980	101.036
89.040	100.667
89.100	99.699
89.160	99.623
89.220	99.699
89.280	100.692
89.340	100.336
89.400	99.992
89.460	100.119
89.520	100.820
89.580	100.731
89.640	100.501
89.700	101.431
89.760	100.336
89.820	101.584
89.880	100.782
89.940	101.024
90.000	100.017
90.060	101.049
90.120	101.457
90.180	100.833
90.240	99.648
90.300	100.463
90.360	99.228
90.420	99.419
90.480	99.597
90.540	99.584
90.600	99.483
90.660	100.540
90.720	99.763
90.780	100.450
90.840	100.858
90.900	100.667
90.960	100.756
91.020	100.285
91.080	100.323
91.140	100.234
91.200	99.381
91.260	99.610
91.320	100.259
91.380	100.196
91.440	100.056
91.500	100.514
91.560	100.603
91.620	100.845
91.680	100.973
91.740	102.017
91.800	102.425
91.860	103.418
91.920	102.501
91.980	101.673
