Mon, Oct 09, 2017	2:30 PM
 x = amu	 y = amps

90.780	108.666
90.840	108.602
90.900	108.411
90.960	108.207
91.020	108.818
91.080	107.698
91.140	107.838
91.200	105.481
91.260	104.462
91.320	103.800
91.380	103.278
91.440	102.985
91.500	105.609
91.560	106.781
91.620	108.958
91.680	112.015
91.740	112.537
91.800	114.677
91.860	116.588
91.920	117.594
91.980	115.390
92.040	117.390
92.100	116.537
92.160	114.741
92.220	110.563
92.280	107.532
92.340	106.055
92.400	104.513
92.460	105.991
92.520	107.952
92.580	111.799
92.640	114.117
92.700	117.186
92.760	120.892
92.820	122.714
92.880	123.567
92.940	122.867
93.000	123.083
93.060	124.229
93.120	123.962
93.180	120.880
93.240	114.715
93.300	109.519
93.360	105.978
93.420	104.755
93.480	105.813
93.540	108.831
93.600	112.079
93.660	116.116
93.720	117.759
93.780	120.243
93.840	124.128
93.900	125.096
93.960	125.185
94.020	127.172
94.080	127.821
94.140	126.280
94.200	122.179
94.260	114.180
94.320	109.455
94.380	106.921
94.440	106.870
94.500	109.200
94.560	118.816
94.620	125.057
94.680	134.610
94.740	142.850
94.800	149.308
94.860	157.293
94.920	160.961
94.980	164.247
95.040	164.821
95.100	165.890
95.160	164.413
95.220	150.785
95.280	140.507
95.340	127.783
95.400	118.778
95.460	116.078
95.520	131.260
95.580	157.191
95.640	196.585
95.700	241.991
95.760	269.705
95.820	304.934
95.880	330.050
95.940	346.837
96.000	356.759
96.060	367.037
96.120	374.144
96.180	370.081
96.240	355.090
96.300	269.514
96.360	204.673
96.420	172.539
96.480	144.875
96.540	134.062
96.600	148.098
96.660	176.092
96.720	200.470
96.780	228.121
96.840	257.873
96.900	274.252
96.960	285.626
97.020	293.408
97.080	297.280
97.140	307.583
97.200	297.585
97.260	280.569
97.320	211.945
97.380	172.106
97.440	146.773
97.500	121.695
97.560	107.927
97.620	107.201
97.680	108.882
97.740	111.760
97.800	114.410
97.860	118.167
97.920	117.989
97.980	122.319
98.040	122.395
98.100	122.344
98.160	122.892
98.220	124.306
98.280	119.020
98.340	115.339
98.400	111.378
98.460	107.659
98.520	105.380
98.580	104.029
98.640	102.870
98.700	103.877
98.760	104.730
98.820	105.698
98.880	105.991
98.940	107.506
99.000	107.799
99.060	107.379
99.120	108.309
99.180	108.818
99.240	107.698
99.300	107.863
99.360	107.430
99.420	104.590
99.480	104.934
99.540	103.596
99.600	102.577
99.660	103.023
99.720	102.807
99.780	103.163
99.840	103.482
99.900	104.424
99.960	104.131
100.020	104.755
100.080	105.596
100.140	105.736
100.200	106.195
100.260	105.010
100.320	106.500
100.380	105.545
100.440	104.730
100.500	103.609
100.560	102.921
100.620	103.036
100.680	102.909
100.740	103.571
100.800	104.730
100.860	105.443
100.920	106.271
100.980	107.252
101.040	106.500
101.100	108.054
101.160	107.061
101.220	107.672
101.280	107.532
101.340	106.335
101.400	105.889
101.460	105.456
101.520	103.571
101.580	103.991
101.640	103.354
101.700	102.705
101.760	105.227
101.820	105.660
101.880	105.061
101.940	105.800
102.000	108.182
102.060	107.506
102.120	107.710
102.180	108.207
102.240	109.264
102.300	108.551
102.360	108.525
102.420	108.131
102.480	105.227
102.540	104.412
102.600	103.418
102.660	102.692
102.720	102.501
102.780	102.514
102.840	102.272
102.900	103.431
102.960	102.093
103.020	102.539
103.080	103.698
103.140	103.686
103.200	103.329
103.260	103.813
103.320	102.896
