Thu, Oct 12, 2017	3:43 PM
 x = amu	 y = amps

46.140	120.077
46.200	123.376
46.260	120.994
46.320	122.497
46.380	121.669
46.440	118.065
46.500	113.009
46.560	105.443
46.620	105.112
46.680	107.799
46.740	109.888
46.800	112.308
46.860	113.760
46.920	116.422
46.980	118.536
47.040	117.288
47.100	116.944
47.160	116.358
47.220	116.537
47.280	116.422
47.340	112.143
47.400	113.913
47.460	111.735
47.520	107.150
47.580	106.347
47.640	110.334
47.700	115.263
47.760	141.258
47.820	158.325
47.880	161.700
47.940	170.870
48.000	173.125
48.060	175.010
48.120	169.864
48.180	167.839
48.240	163.025
48.300	167.966
48.360	162.770
48.420	153.243
48.480	134.890
48.540	120.880
48.600	107.201
48.660	104.106
48.720	105.456
48.780	108.360
48.840	113.722
48.900	117.657
48.960	119.046
49.020	118.804
49.080	120.154
49.140	120.039
49.200	117.581
49.260	117.606
49.320	118.103
49.380	118.651
49.440	116.053
49.500	115.569
49.560	109.621
49.620	106.449
49.680	104.832
49.740	108.678
49.800	115.480
49.860	134.673
49.920	144.200
0.000	2705.245
0.060	1921.521
0.120	2620.650
0.180	3099.922
0.240	3124.669
0.300	2923.230
0.360	2938.615
0.420	2938.692
0.480	2823.885
0.540	2878.194
0.600	2908.570
0.660	2813.887
0.720	2886.893
0.780	2957.198
0.840	2953.428
0.900	3141.061
0.960	3086.231
1.020	1900.429
1.080	2024.750
1.140	1071.146
1.200	893.982
1.260	501.789
1.320	147.614
1.380	127.286
1.440	129.655
1.500	142.672
1.560	163.674
1.620	194.293
1.680	368.387
1.740	1889.565
1.800	2526.094
1.860	2345.160
1.920	2388.401
1.980	2506.850
2.040	2582.441
2.100	2414.218
2.160	1812.331
2.220	215.091
2.280	123.414
2.340	106.589
2.400	106.437
2.460	104.552
2.520	104.896
2.580	104.424
2.640	105.341
2.700	106.449
2.760	107.175
2.820	107.086
2.880	106.691
2.940	105.392
3.000	106.029
3.060	107.010
3.120	106.589
3.180	105.558
3.240	105.494
3.300	109.391
3.360	112.665
3.420	126.930
3.480	203.221
3.540	416.493
3.600	692.059
3.660	786.130
3.720	759.982
3.780	788.168
3.840	826.377
3.900	741.858
3.960	696.185
4.020	659.644
4.080	512.016
4.140	138.150
4.200	108.920
4.260	104.220
4.320	103.482
4.380	104.093
4.440	103.826
4.500	103.711
4.560	103.966
4.620	104.857
4.680	104.208
4.740	104.157
4.800	104.806
4.860	104.590
4.920	103.915
4.980	103.520
5.040	104.310
5.100	103.571
5.160	104.220
5.220	105.469
5.280	103.278
5.340	104.934
5.400	106.882
5.460	110.461
5.520	112.576
5.580	114.575
5.640	115.530
5.700	112.002
5.760	112.092
5.820	112.843
5.880	111.608
5.940	113.111
6.000	110.461
6.060	108.296
6.120	105.672
6.180	104.220
6.240	103.736
6.300	103.609
6.360	104.335
6.420	105.914
6.480	108.258
6.540	109.595
6.600	107.889
6.660	109.825
6.720	110.321
6.780	108.704
6.840	108.831
